epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,821.602,2.10842,2.71468,2.22679,0.2271,0.2977,0.21559,0.06964,2.24113,2.49936,2.24083,0.007921,0.007921,0.007921
44,837.984,2.08901,2.69755,2.2185,0.26244,0.3593,0.21935,0.07472,2.24521,2.45164,2.29424,0.0078715,0.0078715,0.0078715
45,854.198,2.11947,2.70663,2.19649,0.23839,0.36919,0.26299,0.09866,2.25806,2.51792,2.24088,0.007822,0.007822,0.007822
46,870.455,2.09312,2.70273,2.18471,0.28953,0.31815,0.23562,0.08249,2.25738,2.3887,2.20592,0.0077725,0.0077725,0.0077725
47,886.546,2.07748,2.67031,2.15852,0.22127,0.34171,0.221,0.07898,2.22818,2.3261,2.15007,0.007723,0.007723,0.007723
48,902.837,2.05751,2.64886,2.13132,0.31293,0.30852,0.25555,0.08995,2.20727,2.28804,2.17153,0.0076735,0.0076735,0.0076735
49,919.071,2.04657,2.60258,2.11784,0.26195,0.29386,0.2484,0.08761,2.1451,2.19623,2.18587,0.007624,0.007624,0.007624
50,935.23,2.03154,2.57737,2.14758,0.2977,0.38731,0.30395,0.10995,2.16496,2.16484,2.17058,0.0075745,0.0075745,0.0075745
51,951.476,2.02091,2.50829,2.1112,0.35837,0.43681,0.3358,0.12398,2.11527,2.13697,2.07416,0.007525,0.007525,0.007525
52,967.772,1.9742,2.4459,2.05158,0.38094,0.41842,0.35318,0.13019,2.10042,2.06847,2.08567,0.0074755,0.0074755,0.0074755
53,983.955,2.00223,2.44187,2.06194,0.31021,0.5033,0.33304,0.12977,2.12698,2.08149,2.13566,0.007426,0.007426,0.007426
54,1000.07,1.97488,2.41832,2.05381,0.41154,0.47161,0.37554,0.13875,2.10503,2.06506,2.04714,0.0073765,0.0073765,0.0073765
55,1016.39,1.9971,2.43788,2.05199,0.33367,0.43957,0.34255,0.13225,2.12133,2.07369,2.09411,0.007327,0.007327,0.007327
56,1032.56,1.96454,2.39913,2.04274,0.39862,0.41669,0.36835,0.14365,2.09747,2.01088,2.05933,0.0072775,0.0072775,0.0072775
57,1048.96,1.94696,2.33936,2.02217,0.45408,0.41487,0.38563,0.14865,2.06551,2.12915,2.00224,0.007228,0.007228,0.007228
58,1067.83,1.94373,2.3457,2.01952,0.36072,0.46713,0.38974,0.15312,2.07968,1.98746,2.13599,0.0071785,0.0071785,0.0071785
59,1089.57,1.94178,2.30522,1.99302,0.37402,0.433,0.38216,0.15687,2.03245,2.00446,1.95096,0.007129,0.007129,0.007129
60,1111.39,1.95946,2.27293,2.0057,0.48137,0.44711,0.41017,0.16288,2.06082,1.97136,1.98384,0.0070795,0.0070795,0.0070795
61,1133.81,1.93022,2.27797,2.00033,0.38892,0.47979,0.41975,0.17277,2.03531,1.90974,1.98559,0.00703,0.00703,0.00703
