epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,39.5892,3.88157,15.5927,4.26014,1e-05,0.00575,0,0,4.11706,17.5989,4.1496,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033
2,59.489,3.8699,14.9768,4.25685,1e-05,0.00575,0,0,4.10976,14.2563,4.14084,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766
3,78.4446,3.84924,14.167,4.24342,1e-05,0.0069,1e-05,0,4.08774,9.79283,4.18201,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933
4,96.9899,3.8233,13.536,4.2193,1e-05,0.0069,0,0,4.08096,6.6596,4.13929,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,115.431,3.83858,12.3265,4.2002,1e-05,0.0069,1e-05,0,4.06978,4.92356,4.13235,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,137.323,3.79372,11.6274,4.19152,1e-05,0.0069,1e-05,0,4.0831,4.13976,4.12452,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,162.801,3.80331,11.0656,4.16143,1e-05,0.0069,1e-05,0,4.07109,4.17258,4.12088,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,181.668,3.66086,10.2431,4.13281,9e-05,0.01201,5e-05,1e-05,4.0544,4.23499,4.13505,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,200.312,3.60534,9.27714,4.09313,3e-05,0.00826,2e-05,0,4.06192,4.2826,4.08828,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,218.791,3.57371,8.77611,4.06108,4e-05,0.0046,2e-05,0,4.05105,4.34696,4.07407,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,237.227,3.64071,8.3633,4.01647,8e-05,0.0046,4e-05,1e-05,4.02773,4.38829,4.05059,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,255.488,3.52251,7.75546,3.96634,0.00038,0.0046,0.0002,6e-05,4.00447,4.41153,3.98509,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,273.904,3.47734,7.45827,3.91012,0,0,0,0,3.94614,4.42383,3.96146,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,292.239,3.4395,7.1449,3.86376,0,0,0,0,3.9248,4.38306,3.94333,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,310.493,3.35398,6.94634,3.83673,0,0,0,0,3.85506,4.49291,3.87826,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,328.842,3.31787,6.73586,3.79079,4e-05,0.00115,2e-05,0,3.84374,4.4219,3.86827,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,347.352,3.20566,6.52469,3.72886,0,0,0,0,3.79497,4.42578,3.82196,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,366.094,3.14087,6.36728,3.7083,0.00211,0.00867,0.00107,0.00032,3.70156,4.4367,3.82315,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,384.611,3.15785,6.23496,3.63911,0.00186,0.03914,0.00132,0.00028,3.57163,4.40765,3.75195,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,403.185,3.03744,6.0867,3.63493,0.00097,0.05251,0.0015,0.00028,3.41785,4.38003,3.71867,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,421.685,2.97324,5.97629,3.56078,0.00099,0.07704,0.00109,0.00029,3.30397,4.40713,3.69311,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,440.222,2.95223,5.83247,3.53894,0.00068,0.0619,0.00061,0.00019,3.33539,4.42394,3.66138,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,458.657,2.87028,5.72408,3.50432,0.0012,0.06755,0.0011,0.0003,3.32055,4.39116,3.6371,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,477.074,2.82223,5.63639,3.46045,0.00091,0.10836,0.00145,0.00038,3.10775,4.36577,3.53087,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,495.57,2.84046,5.56543,3.43844,0.0011,0.12705,0.00326,0.00072,3.02017,4.31964,3.47157,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,513.907,2.79796,5.48569,3.36839,0.00106,0.13874,0.00428,0.00098,3.02091,4.35969,3.44304,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,534.169,2.73675,5.42268,3.3571,0.00129,0.12839,0.00703,0.00136,3.04678,4.33009,3.43234,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,552.736,2.68908,5.34944,3.3125,0.02286,0.1623,0.02022,0.00534,3.00191,4.268,3.37863,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,577.024,2.62952,5.26231,3.28085,0.19035,0.0254,0.02306,0.00654,2.91224,4.18696,3.31285,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,606.988,2.61293,5.20194,3.25349,0.53155,0.02482,0.02987,0.00771,2.82569,4.08816,3.23325,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,637.894,2.58077,5.11564,3.19032,0.55494,0.05237,0.05036,0.01329,2.86022,4.10148,3.20802,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,668.522,2.57611,5.01038,3.16799,0.56784,0.04816,0.05231,0.01376,2.63208,3.99549,3.10089,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,698.753,2.52239,4.92255,3.10619,0.42464,0.06725,0.03959,0.01424,2.79755,4.01883,3.12077,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,718.531,2.48565,4.84505,3.09,0.39509,0.06203,0.04405,0.01774,2.69618,3.97697,3.08263,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,737.044,2.46509,4.78504,3.04735,0.40109,0.04482,0.04346,0.01649,2.55573,3.96869,2.99889,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,755.555,2.44664,4.7063,3.00644,0.44605,0.08157,0.0505,0.01868,2.44484,4.02542,2.90368,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,774.03,2.40087,4.63356,2.9686,0.40975,0.08255,0.06253,0.02108,2.43405,3.82803,2.86686,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,792.39,2.40984,4.61142,2.92922,0.62349,0.06775,0.06167,0.02174,2.47269,3.83976,2.86999,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,810.857,2.36014,4.52592,2.88356,0.56448,0.06277,0.06307,0.02518,2.38323,3.69002,2.77335,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,829.239,2.30101,4.42623,2.85262,0.58869,0.09434,0.06324,0.02493,2.33995,3.75488,2.73785,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,847.707,2.31128,4.41535,2.84656,0.62148,0.09685,0.07878,0.03245,2.25684,3.60538,2.67027,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,866.162,2.3078,4.39833,2.82728,0.64426,0.10819,0.07857,0.03222,2.33483,3.63056,2.71468,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,884.684,2.26359,4.26726,2.76955,0.60631,0.09507,0.07988,0.03186,2.27783,3.56338,2.65972,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,903.196,2.22908,4.27507,2.74713,0.4454,0.13107,0.08261,0.03281,2.32435,3.52697,2.67259,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,921.665,2.23729,4.23503,2.74152,0.60953,0.15872,0.09838,0.03795,2.34456,3.47461,2.67296,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
