epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,767.58,2.08615,2.58432,2.10879,0.343,0.33926,0.26022,0.08521,2.27179,2.31832,2.18396,0.005743,0.005743,0.005743
45,784.186,2.10813,2.60616,2.09859,0.27188,0.34722,0.26239,0.09605,2.25077,2.29105,2.06388,0.005644,0.005644,0.005644
46,800.859,2.09604,2.57578,2.08939,0.28258,0.38432,0.26367,0.09559,2.18137,2.25751,2.09283,0.005545,0.005545,0.005545
47,817.62,2.06394,2.56338,2.06608,0.26052,0.35018,0.27424,0.10297,2.202,2.24176,2.07756,0.005446,0.005446,0.005446
48,834.368,2.06846,2.5467,2.05038,0.28473,0.34813,0.28005,0.1009,2.21517,2.23161,2.03783,0.005347,0.005347,0.005347
49,850.891,2.05078,2.51761,2.05236,0.3628,0.35397,0.29924,0.11139,2.18927,2.2226,2.0515,0.005248,0.005248,0.005248
50,867.732,2.02603,2.46773,2.04149,0.30074,0.38897,0.31876,0.119,2.16901,2.12883,2.00697,0.005149,0.005149,0.005149
51,884.386,2.04232,2.47473,2.02946,0.36153,0.36945,0.32502,0.12354,2.13816,2.11322,2.01062,0.00505,0.00505,0.00505
52,901.128,1.99827,2.42997,1.98269,0.37093,0.42549,0.35614,0.13569,2.13551,2.10974,2.00263,0.004951,0.004951,0.004951
53,917.774,2.01445,2.41472,2.00239,0.3377,0.38497,0.32658,0.12507,2.1808,2.15155,2.00006,0.004852,0.004852,0.004852
54,934.486,1.98711,2.39081,1.98037,0.33581,0.43004,0.329,0.12241,2.1485,2.09645,1.96488,0.004753,0.004753,0.004753
55,951.178,2.00076,2.4071,1.96889,0.38444,0.38338,0.34753,0.13244,2.12887,2.11362,1.9675,0.004654,0.004654,0.004654
56,967.829,1.99409,2.40564,1.97836,0.34918,0.42706,0.36143,0.13708,2.13202,2.07508,1.94889,0.004555,0.004555,0.004555
57,984.662,1.97066,2.33242,1.95728,0.41926,0.42607,0.35936,0.1425,2.13948,2.10487,1.96202,0.004456,0.004456,0.004456
58,1001.4,1.96065,2.33428,1.95002,0.40239,0.42468,0.36178,0.14167,2.10206,2.00686,1.91628,0.004357,0.004357,0.004357
59,1018.26,1.93696,2.29172,1.90974,0.36691,0.39489,0.3717,0.1438,2.089,2.04564,1.90214,0.004258,0.004258,0.004258
60,1034.89,1.95239,2.2855,1.93596,0.36657,0.51185,0.39406,0.14663,2.11376,1.99872,1.9354,0.004159,0.004159,0.004159
61,1051.53,1.92727,2.26901,1.92827,0.38442,0.47066,0.38382,0.15445,2.15014,1.9401,1.92228,0.00406,0.00406,0.00406
62,1068.09,1.92536,2.2717,1.91074,0.35363,0.4812,0.40022,0.15899,2.04601,1.89664,1.88899,0.003961,0.003961,0.003961
63,1084.89,1.92743,2.2426,1.9,0.38787,0.45431,0.40879,0.1632,2.04978,1.90523,1.87344,0.003862,0.003862,0.003862
64,1101.75,1.89776,2.20539,1.88975,0.38555,0.48009,0.39463,0.15945,2.08972,1.92945,1.9057,0.003763,0.003763,0.003763
65,1118.43,1.91502,2.21711,1.8947,0.45416,0.36715,0.39669,0.1603,2.03477,1.91309,1.84747,0.003664,0.003664,0.003664
