epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,472.536,2.59907,3.94263,2.93313,0.45306,0.16111,0.14298,0.04503,2.74929,3.11134,2.79736,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,493.111,2.56935,3.86536,2.90223,0.33919,0.12995,0.13707,0.04524,2.68424,3.1105,2.77485,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,513.851,2.51866,3.78281,2.84989,0.32865,0.1846,0.1619,0.05611,2.62915,2.97574,2.68991,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,534.261,2.46308,3.67298,2.82776,0.15808,0.22811,0.15125,0.04857,2.67864,3.10855,2.7654,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,1729.81,2.42838,3.60922,2.78053,0.22988,0.28213,0.18043,0.06137,2.59852,2.90792,2.61331,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,1749.15,2.41669,3.57656,2.77285,0.54276,0.24352,0.22065,0.0838,2.53643,2.81349,2.58661,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,1766.48,2.37053,3.51757,2.73682,0.23206,0.28423,0.18782,0.06598,2.51203,2.88251,2.54074,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,1780.23,2.38532,3.48391,2.73601,0.33704,0.26766,0.2054,0.07164,2.48837,2.75486,2.53801,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,1794.13,2.34593,3.44634,2.68392,0.46632,0.24854,0.22425,0.08234,2.41404,2.70827,2.49563,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,1808.03,2.30102,3.38843,2.66299,0.41577,0.19996,0.21336,0.07789,2.49716,2.80577,2.57028,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,1821.98,2.27685,3.30511,2.63419,0.4761,0.27574,0.25375,0.09355,2.38814,2.6505,2.45581,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,1836.02,2.27424,3.29545,2.63632,0.34545,0.28787,0.28583,0.10928,2.38842,2.59236,2.46709,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,1850.08,2.25577,3.32216,2.62765,0.34023,0.30722,0.2878,0.11008,2.32866,2.55317,2.45593,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,1864.1,2.21773,3.20049,2.56754,0.33267,0.31744,0.26075,0.10111,2.37785,2.61436,2.48429,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,1878.09,2.21554,3.22855,2.56908,0.33675,0.31931,0.27691,0.11099,2.33465,2.63958,2.44681,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,1891.95,2.19338,3.21542,2.57375,0.26232,0.29466,0.22975,0.09347,2.37311,2.81726,2.53039,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,1905.78,2.2095,3.20037,2.55355,0.39126,0.33572,0.31183,0.12118,2.235,2.51376,2.4126,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,1919.67,2.18132,3.12939,2.53163,0.31838,0.36919,0.28903,0.12157,2.22266,2.4992,2.41201,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,1933.58,2.1512,3.13969,2.51308,0.3778,0.3632,0.31604,0.13558,2.20928,2.48989,2.41531,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,1947.52,2.13324,3.06546,2.48368,0.34121,0.35267,0.3076,0.12818,2.20565,2.50565,2.40415,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,1961.47,2.11738,3.03481,2.5007,0.40687,0.40502,0.36232,0.14673,2.17619,2.36752,2.38966,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,1979.02,2.11221,3.02037,2.48807,0.40429,0.37883,0.32479,0.13739,2.1995,2.3975,2.37249,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,1995.31,2.07737,2.99259,2.43242,0.34428,0.42588,0.33246,0.13626,2.16013,2.39588,2.36334,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,2009.11,2.10612,2.99996,2.45894,0.46634,0.3012,0.33012,0.14282,2.13868,2.37094,2.33772,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,2022.95,2.06418,2.90931,2.41816,0.33937,0.37752,0.32192,0.13756,2.13128,2.46445,2.37684,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,2036.75,2.07536,2.94448,2.41818,0.30191,0.40124,0.35016,0.15059,2.08601,2.32326,2.35468,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,2050.64,2.05706,2.96331,2.42699,0.43543,0.43295,0.36434,0.15858,2.05594,2.3452,2.31443,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,2064.51,2.04026,2.87549,2.38801,0.41869,0.42082,0.37842,0.16936,2.06526,2.31198,2.33126,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,2078.45,2.04015,2.88662,2.39754,0.43221,0.42006,0.38907,0.17147,2.04143,2.22249,2.31814,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,2093.94,2.02016,2.86463,2.38229,0.4457,0.42699,0.38609,0.17976,2.02799,2.24653,2.3005,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,2114.3,2.0419,2.84078,2.39232,0.4436,0.40606,0.38788,0.17845,2.00491,2.23056,2.2855,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,2134.59,2.00903,2.80635,2.37264,0.3681,0.46628,0.40131,0.17989,2.01007,2.23405,2.31135,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,2155.79,1.99824,2.78348,2.34663,0.38216,0.45091,0.40026,0.17748,1.9957,2.21134,2.303,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,2176.41,2.00176,2.78888,2.34445,0.41737,0.49146,0.41604,0.17996,2.05708,2.22561,2.27998,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,2196.29,1.97196,2.73334,2.31091,0.48968,0.42111,0.41521,0.19182,1.94817,2.17042,2.26856,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,2216.41,1.97438,2.75717,2.33056,0.47,0.38474,0.39337,0.18395,1.97057,2.22681,2.27996,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,2236.57,1.97049,2.783,2.34717,0.48874,0.42567,0.41914,0.19058,1.97497,2.1784,2.25959,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,2256.63,1.97745,2.73115,2.31759,0.39815,0.47364,0.4383,0.20719,1.95776,2.1423,2.24543,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,2277.34,1.97578,2.7645,2.33557,0.5541,0.42823,0.45237,0.21548,1.92641,2.05821,2.24595,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
