epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,477.532,2.73936,4.32235,3.14124,0.4416,0.09582,0.05629,0.02257,2.80465,3.6308,3.13214,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,491.126,2.65215,4.22005,3.07156,0.47823,0.11924,0.08449,0.03452,2.71416,3.51518,3.05448,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,505.216,2.66182,4.15235,3.03156,0.47547,0.0935,0.08624,0.03727,2.7133,3.38409,2.97678,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,518.778,2.61723,4.07639,3.0008,0.43894,0.12484,0.09094,0.0336,2.67367,3.40177,2.97094,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,532.271,2.59052,4.02162,2.97498,0.43289,0.12647,0.08844,0.03469,2.66076,3.37188,2.90616,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,545.835,2.54771,3.96104,2.93126,0.46177,0.13503,0.10568,0.03966,2.63197,3.33849,2.90758,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,559.369,2.49714,3.86831,2.90054,0.45268,0.14026,0.09647,0.03672,2.6787,3.34339,2.89597,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,572.863,2.51161,3.85576,2.88977,0.29068,0.15059,0.10691,0.03958,2.64288,3.26067,2.84926,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,586.443,2.4911,3.79925,2.83773,0.49383,0.14644,0.13075,0.04928,2.61166,3.1693,2.83459,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,599.852,2.438,3.7606,2.81152,0.30001,0.14166,0.11678,0.0451,2.56943,3.13037,2.83031,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,613.396,2.42497,3.69941,2.79561,0.47893,0.1527,0.1289,0.04859,2.53877,3.08979,2.77588,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,626.922,2.40818,3.64667,2.77291,0.51463,0.12995,0.13702,0.05246,2.54174,3.03419,2.74441,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,640.419,2.4128,3.67793,2.75212,0.30617,0.13186,0.11297,0.04466,2.59221,3.08967,2.77489,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,653.957,2.37813,3.55346,2.70449,0.38822,0.15104,0.15546,0.06422,2.49168,2.96868,2.71128,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,667.424,2.35895,3.58523,2.71161,0.1966,0.14048,0.15379,0.0589,2.51591,2.93767,2.73045,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,681.016,2.37025,3.55928,2.69654,0.3338,0.19422,0.1594,0.06282,2.44152,2.84865,2.64943,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,694.523,2.34064,3.50046,2.66414,0.26052,0.18801,0.1575,0.06317,2.42039,2.9166,2.67815,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,708.074,2.31915,3.46659,2.63933,0.62178,0.17277,0.17282,0.06739,2.41429,2.82567,2.64167,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,721.565,2.28637,3.46167,2.61987,0.3568,0.18804,0.17318,0.06672,2.39099,2.82662,2.62726,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,735.08,2.29911,3.40139,2.609,0.40721,0.2095,0.18596,0.079,2.34347,2.74484,2.57775,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,748.74,2.27977,3.36791,2.61819,0.52269,0.22063,0.18334,0.07682,2.32619,2.74369,2.56906,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,762.225,2.26075,3.34493,2.57844,0.28088,0.21472,0.21313,0.08009,2.38987,2.70566,2.55181,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,775.796,2.23353,3.29677,2.55258,0.21298,0.26611,0.20997,0.08532,2.31326,2.71937,2.53663,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,789.251,2.24597,3.28762,2.55839,0.59636,0.25037,0.2172,0.08408,2.33614,2.69984,2.5582,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,802.683,2.21735,3.2083,2.52396,0.47573,0.25043,0.22338,0.08988,2.33047,2.66012,2.52387,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,816.396,2.22731,3.23221,2.52153,0.44375,0.1973,0.21464,0.08541,2.32104,2.6974,2.51061,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,829.905,2.18724,3.24811,2.52239,0.6907,0.18009,0.24836,0.0987,2.27569,2.63928,2.4786,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,843.412,2.18023,3.17927,2.49844,0.22919,0.32412,0.2037,0.08682,2.25384,2.61658,2.47145,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,856.917,2.17088,3.17689,2.49496,0.29015,0.3174,0.24853,0.10873,2.22377,2.48222,2.45179,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,870.429,2.18865,3.13531,2.49219,0.58594,0.2164,0.24378,0.10201,2.28354,2.54861,2.45344,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,884.058,2.20385,3.10794,2.50514,0.34,0.27245,0.23749,0.09529,2.26697,2.76706,2.47971,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,897.664,2.16083,3.09267,2.46404,0.57041,0.30745,0.29325,0.11717,2.26039,2.44807,2.43292,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,911.201,2.1496,3.05951,2.43807,0.33437,0.3708,0.29322,0.12134,2.20094,2.44892,2.41687,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,924.655,2.14384,3.08062,2.44061,0.27285,0.33659,0.29154,0.11337,2.27404,2.43016,2.43845,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
