epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,758.057,1.92445,2.21615,2.08944,0.51906,0.49542,0.45597,0.1746,2.08432,1.94368,2.09727,0.007921,0.007921,0.007921
44,775.018,1.93834,2.21879,2.10795,0.59313,0.41625,0.48478,0.19455,2.09152,1.94479,2.10542,0.0078715,0.0078715,0.0078715
45,791.852,1.917,2.23577,2.06508,0.508,0.48627,0.48636,0.1964,2.0975,1.85196,2.11732,0.007822,0.007822,0.007822
46,808.816,1.93195,2.2159,2.06588,0.47665,0.54207,0.48313,0.19434,2.04395,1.81966,2.04439,0.0077725,0.0077725,0.0077725
47,826.11,1.9253,2.16606,2.07552,0.5713,0.49122,0.48852,0.20297,2.05315,1.8518,2.04017,0.007723,0.007723,0.007723
48,843.368,1.89464,2.17781,2.03794,0.47057,0.53571,0.53063,0.21882,2.03531,1.84888,2.02244,0.0076735,0.0076735,0.0076735
49,860.561,1.88863,2.13617,2.03827,0.50464,0.58886,0.53266,0.21496,2.10341,1.8216,2.07371,0.007624,0.007624,0.007624
50,877.814,1.87915,2.12313,2.06039,0.54877,0.51684,0.54868,0.22961,2.02123,1.7757,2.04587,0.0075745,0.0075745,0.0075745
51,894.722,1.88597,2.10853,2.0395,0.54179,0.49803,0.52714,0.22514,2.02371,1.78697,2.02849,0.007525,0.007525,0.007525
52,911.872,1.86898,2.0931,2.01059,0.49215,0.60909,0.58817,0.23578,2.04076,1.74258,2.01719,0.0074755,0.0074755,0.0074755
53,928.759,1.86409,2.06458,2.00395,0.61589,0.52069,0.57252,0.23489,1.98948,1.74886,1.96996,0.007426,0.007426,0.007426
54,945.729,1.84404,2.01475,1.99219,0.55272,0.559,0.57448,0.22744,2.04223,1.68137,2.00923,0.0073765,0.0073765,0.0073765
55,962.69,1.85281,2.08053,1.98222,0.57857,0.56202,0.58367,0.23594,2.00983,1.74577,1.99174,0.007327,0.007327,0.007327
56,979.632,1.85597,2.03794,1.99367,0.54449,0.5684,0.60223,0.24429,1.98537,1.67499,1.95513,0.0072775,0.0072775,0.0072775
57,996.666,1.83111,1.99092,1.96772,0.54073,0.57759,0.57101,0.24436,1.97503,1.64855,1.97727,0.007228,0.007228,0.007228
58,1013.61,1.82086,1.98153,1.9653,0.60289,0.64313,0.63592,0.26991,1.97741,1.61891,1.94243,0.0071785,0.0071785,0.0071785
59,1030.69,1.83476,1.95105,1.96302,0.62127,0.61972,0.64781,0.26809,1.99478,1.59831,1.95271,0.007129,0.007129,0.007129
60,1047.77,1.8375,1.9345,1.95891,0.52396,0.61096,0.62713,0.26365,1.96839,1.63971,1.95638,0.0070795,0.0070795,0.0070795
61,1064.57,1.8071,1.95781,1.96277,0.64317,0.61992,0.66436,0.28326,2.00409,1.59503,1.97099,0.00703,0.00703,0.00703
62,1081.8,1.8177,1.91655,1.95523,0.58657,0.65371,0.65441,0.27439,1.96364,1.56029,1.9436,0.0069805,0.0069805,0.0069805
63,1098.78,1.80556,1.91296,1.93772,0.65929,0.56146,0.62969,0.26899,1.95313,1.60515,1.91647,0.006931,0.006931,0.006931
64,1115.93,1.77448,1.87688,1.91541,0.68128,0.60708,0.67732,0.29883,1.94457,1.57847,1.93683,0.0068815,0.0068815,0.0068815
65,1132.89,1.77957,1.85483,1.9038,0.70205,0.54203,0.64886,0.29447,1.89253,1.5908,1.88216,0.006832,0.006832,0.006832
66,1149.83,1.81028,1.93389,1.95327,0.66521,0.6298,0.70505,0.30368,1.93663,1.57029,1.91784,0.0067825,0.0067825,0.0067825
67,1166.61,1.7643,1.85001,1.89427,0.72468,0.62819,0.73025,0.3187,1.9768,1.48347,1.93541,0.006733,0.006733,0.006733
68,1183.72,1.78208,1.8987,1.91209,0.71201,0.60521,0.69529,0.30536,1.93079,1.51128,1.90903,0.0066835,0.0066835,0.0066835
69,1200.61,1.75676,1.83145,1.90392,0.61355,0.66648,0.70283,0.30439,1.9419,1.47865,1.91948,0.006634,0.006634,0.006634
70,1217.6,1.77319,1.81904,1.90236,0.68947,0.62295,0.69056,0.29951,1.9313,1.53274,1.91985,0.0065845,0.0065845,0.0065845
71,1234.92,1.75507,1.79697,1.86942,0.77407,0.6825,0.77834,0.3333,1.92067,1.39848,1.89728,0.006535,0.006535,0.006535
72,1251.74,1.75573,1.79682,1.88025,0.69674,0.67712,0.73801,0.32223,1.90184,1.46265,1.87099,0.0064855,0.0064855,0.0064855
73,1268.76,1.73007,1.78433,1.87817,0.69117,0.69957,0.74335,0.32583,1.90581,1.43404,1.89008,0.006436,0.006436,0.006436
74,1285.63,1.74096,1.74033,1.87892,0.72977,0.66881,0.7506,0.32923,1.88925,1.44274,1.88109,0.0063865,0.0063865,0.0063865
75,1302.93,1.75,1.79133,1.90699,0.72546,0.67979,0.73522,0.32512,1.89327,1.44943,1.87343,0.006337,0.006337,0.006337
76,1320,1.73619,1.73836,1.87085,0.73287,0.72176,0.7748,0.35794,1.91965,1.38613,1.9145,0.0062875,0.0062875,0.0062875
77,1337.16,1.73347,1.74673,1.87742,0.75172,0.63663,0.73716,0.3309,1.88309,1.39624,1.8628,0.006238,0.006238,0.006238
78,1354.31,1.72681,1.7358,1.85413,0.75461,0.64832,0.7653,0.34194,1.90398,1.39571,1.86637,0.0061885,0.0061885,0.0061885
79,1371.24,1.72678,1.75826,1.85955,0.71876,0.73721,0.78452,0.34479,1.88198,1.38518,1.85931,0.006139,0.006139,0.006139
80,1388.3,1.72508,1.71716,1.85689,0.75068,0.67612,0.75131,0.34613,1.85713,1.38197,1.84501,0.0060895,0.0060895,0.0060895
81,1405.49,1.71502,1.7334,1.85295,0.77212,0.69447,0.78839,0.33892,1.88833,1.3582,1.88438,0.00604,0.00604,0.00604
82,1422.44,1.7312,1.69282,1.86371,0.78011,0.66073,0.7724,0.36093,1.88616,1.38142,1.86535,0.0059905,0.0059905,0.0059905
83,1439.46,1.68884,1.69081,1.82398,0.79165,0.70393,0.78906,0.36033,1.85911,1.29933,1.83448,0.005941,0.005941,0.005941
84,1456.49,1.69974,1.67047,1.84492,0.75556,0.70973,0.77101,0.35666,1.85635,1.34228,1.867,0.0058915,0.0058915,0.0058915
85,1473.42,1.69113,1.70202,1.81788,0.73879,0.72328,0.77022,0.36777,1.85219,1.37541,1.82816,0.005842,0.005842,0.005842
86,1490.61,1.69893,1.65872,1.83764,0.82017,0.68203,0.78444,0.36096,1.88538,1.35569,1.84519,0.0057925,0.0057925,0.0057925
87,1507.85,1.6735,1.66879,1.8197,0.76048,0.67654,0.76071,0.35716,1.88146,1.32023,1.84515,0.005743,0.005743,0.005743
88,1524.89,1.68529,1.63844,1.82027,0.8391,0.66073,0.79376,0.37265,1.86609,1.30623,1.84914,0.0056935,0.0056935,0.0056935
89,1541.88,1.68792,1.6337,1.82772,0.76445,0.70194,0.78797,0.34532,1.92386,1.39486,1.88236,0.005644,0.005644,0.005644
90,1558.91,1.67667,1.62515,1.81258,0.80917,0.70117,0.79283,0.3628,1.86633,1.32565,1.85675,0.0055945,0.0055945,0.0055945
91,1576.03,1.68346,1.63636,1.80596,0.81956,0.71608,0.80779,0.3655,1.8773,1.32606,1.83528,0.005545,0.005545,0.005545
92,1593.36,1.66438,1.60137,1.8194,0.76742,0.72575,0.80798,0.36743,1.87836,1.30581,1.84695,0.0054955,0.0054955,0.0054955
