epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.7305,2.90174,5.19336,2.58332,0.00101,0.27011,0.00133,0.00041,3.00111,4.82384,2.62154,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033
2,31.3363,2.49372,4.8919,2.25475,0.00174,0.44465,0.02774,0.01069,2.48107,4.18044,2.21424,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766
3,45.5249,2.17972,4.49492,1.9813,0.91607,0.08156,0.09303,0.03771,2.18172,4.04068,1.99114,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933
4,59.5118,1.97006,4.09961,1.78541,0.50003,0.21317,0.16565,0.07921,1.931,3.43149,1.88455,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,73.4915,1.87502,3.73356,1.65859,0.43235,0.28395,0.26743,0.11925,1.90234,3.08189,1.81947,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,87.5102,1.83214,3.46736,1.61297,0.53314,0.35181,0.35742,0.17168,1.83934,2.69633,1.75936,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,105.791,1.78925,3.2329,1.57751,0.4677,0.52256,0.4692,0.20807,1.80501,2.32173,1.66444,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,126.093,1.73197,3.06195,1.52689,0.51138,0.47122,0.51441,0.24674,1.68613,2.15346,1.60935,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,146.568,1.71769,2.93554,1.52686,0.56393,0.53747,0.53062,0.2609,1.71663,2.07769,1.62556,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,166.981,1.68835,2.81065,1.48658,0.58762,0.54423,0.56054,0.26787,1.73684,2.08445,1.69501,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,187.253,1.67757,2.72362,1.48405,0.60487,0.58009,0.6183,0.30159,1.66456,1.91342,1.6023,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,207.678,1.63856,2.5861,1.44789,0.713,0.63061,0.71636,0.35155,1.62004,1.77224,1.59937,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,228.092,1.61246,2.51375,1.44158,0.75352,0.66634,0.74283,0.3781,1.61871,1.66137,1.57547,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,248.402,1.60404,2.42467,1.43248,0.79376,0.62185,0.72039,0.35843,1.64778,1.68639,1.60263,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,268.735,1.62824,2.43489,1.44409,0.81978,0.63125,0.75493,0.37632,1.64074,1.56185,1.58878,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,289.446,1.59534,2.30673,1.42173,0.74572,0.74905,0.80158,0.40347,1.54928,1.51185,1.52248,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,309.954,1.56113,2.30642,1.40631,0.81626,0.71946,0.8162,0.41364,1.55162,1.42643,1.51588,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,327.243,1.58664,2.23705,1.40633,0.83906,0.71958,0.8212,0.41902,1.55875,1.44318,1.50846,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,341.107,1.57319,2.19008,1.39164,0.87298,0.69554,0.8096,0.42289,1.56641,1.42512,1.51693,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,355.052,1.5435,2.16629,1.38518,0.79718,0.77602,0.83742,0.43238,1.52799,1.34521,1.49945,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,368.921,1.55168,2.11741,1.37755,0.8745,0.79998,0.85622,0.44983,1.51842,1.28505,1.48156,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
