epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,527.075,1.95349,2.28301,2.15571,0.37839,0.49424,0.42026,0.16108,2.10187,1.96807,2.11282,0.005743,0.005743,0.005743
45,538.786,1.95713,2.28914,2.14725,0.40112,0.48734,0.42529,0.16714,2.12111,1.93881,2.11322,0.005644,0.005644,0.005644
46,550.533,1.95134,2.24742,2.12916,0.45074,0.55456,0.48144,0.18066,2.07101,1.92456,2.0625,0.005545,0.005545,0.005545
47,562.29,1.95361,2.2494,2.14004,0.4044,0.44249,0.43388,0.17819,2.03188,1.88674,2.03778,0.005446,0.005446,0.005446
48,574.005,1.941,2.26441,2.11712,0.4028,0.53818,0.46695,0.17833,2.0471,1.86551,2.05176,0.005347,0.005347,0.005347
49,585.675,1.93574,2.23958,2.12119,0.4333,0.51921,0.46193,0.1865,2.07374,1.86435,2.08116,0.005248,0.005248,0.005248
50,597.71,1.89176,2.18719,2.11351,0.51556,0.55141,0.54267,0.20619,2.05645,1.78343,2.0484,0.005149,0.005149,0.005149
51,610.266,1.91483,2.179,2.11152,0.45477,0.48385,0.48476,0.20519,2.03416,1.8189,2.0382,0.00505,0.00505,0.00505
52,622.561,1.88625,2.16293,2.071,0.46468,0.53399,0.48569,0.19463,2.05713,1.80464,2.04161,0.004951,0.004951,0.004951
53,634.731,1.89465,2.1405,2.06418,0.42424,0.60113,0.48031,0.19335,2.04887,1.80608,2.01882,0.004852,0.004852,0.004852
54,646.527,1.89151,2.11474,2.06769,0.40748,0.55413,0.48677,0.20152,2.04149,1.77062,2.01551,0.004753,0.004753,0.004753
55,658.417,1.89592,2.14598,2.05513,0.41848,0.52396,0.45444,0.19258,1.99221,1.82304,2.00257,0.004654,0.004654,0.004654
56,670.384,1.87613,2.11149,2.07224,0.51979,0.51882,0.5245,0.21388,2.08253,1.74727,2.04254,0.004555,0.004555,0.004555
57,682.164,1.86556,2.06359,2.04726,0.45399,0.55118,0.50675,0.20533,2.03491,1.84173,2.02746,0.004456,0.004456,0.004456
58,693.86,1.85306,2.09612,2.04423,0.52892,0.48603,0.51019,0.21357,1.97801,1.75712,1.97672,0.004357,0.004357,0.004357
59,706.097,1.84187,2.03766,2.01485,0.47161,0.54538,0.52974,0.22902,1.96157,1.73979,1.93785,0.004258,0.004258,0.004258
60,718.325,1.85865,2.0307,2.03034,0.47542,0.55324,0.54459,0.22861,1.96397,1.70979,1.97351,0.004159,0.004159,0.004159
61,730.676,1.83655,2.03807,2.03368,0.47742,0.57024,0.58587,0.24811,2.01931,1.70909,2.00726,0.00406,0.00406,0.00406
62,742.51,1.83448,2.03756,2.02718,0.52108,0.5698,0.56257,0.24421,1.95131,1.66794,1.94138,0.003961,0.003961,0.003961
63,754.824,1.8129,1.97803,1.97469,0.5838,0.5672,0.601,0.25678,1.98789,1.61583,1.95718,0.003862,0.003862,0.003862
64,766.752,1.79717,1.95839,1.97779,0.61092,0.58083,0.62879,0.27428,1.94631,1.57892,1.92571,0.003763,0.003763,0.003763
65,779.036,1.80014,1.97944,1.97406,0.52625,0.5833,0.58743,0.24559,1.95861,1.63005,1.94163,0.003664,0.003664,0.003664
66,791.75,1.83531,2.03417,2.01732,0.62695,0.54064,0.6093,0.26779,1.92295,1.64256,1.93177,0.003565,0.003565,0.003565
67,804.107,1.78608,1.94591,1.95299,0.54715,0.60741,0.61289,0.26692,1.95895,1.5609,1.93947,0.003466,0.003466,0.003466
