epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,531.494,2.41185,2.99424,2.11881,0.36091,0.25394,0.21008,0.0706,2.55384,2.82282,2.33275,0.007921,0.007921,0.007921
44,544.193,2.38659,2.96919,2.10303,0.36973,0.28395,0.19423,0.06536,2.52248,2.70427,2.31813,0.0078715,0.0078715,0.0078715
45,556.86,2.39865,3.00485,2.10273,0.23691,0.32489,0.20631,0.06715,2.44832,2.60909,2.29692,0.007822,0.007822,0.007822
46,569.68,2.37107,2.91481,2.07351,0.2287,0.31794,0.21792,0.07373,2.47443,2.63783,2.27097,0.0077725,0.0077725,0.0077725
47,582.391,2.34266,2.84546,2.04711,0.20118,0.35858,0.20407,0.06591,2.55377,2.57987,2.33414,0.007723,0.007723,0.007723
48,595.13,2.31464,2.84889,2.03406,0.27277,0.28107,0.22365,0.07726,2.43608,2.63664,2.24399,0.0076735,0.0076735,0.0076735
49,607.916,2.31702,2.80531,2.00493,0.55425,0.22199,0.21199,0.07083,2.43624,2.66281,2.21919,0.007624,0.007624,0.007624
50,620.574,2.28573,2.75763,2.02109,0.42812,0.24636,0.23421,0.07975,2.42169,2.48805,2.25939,0.0075745,0.0075745,0.0075745
51,633.288,2.29318,2.75008,2.00726,0.29187,0.33458,0.24586,0.08572,2.45529,2.53219,2.20876,0.007525,0.007525,0.007525
52,646.051,2.25134,2.71295,1.97848,0.32475,0.34918,0.26772,0.09629,2.42298,2.42578,2.22475,0.0074755,0.0074755,0.0074755
53,658.921,2.26975,2.69099,1.99547,0.40942,0.27647,0.24838,0.08221,2.40505,2.33954,2.18701,0.007426,0.007426,0.007426
54,671.67,2.23413,2.61849,1.97699,0.32902,0.26387,0.27264,0.09504,2.35265,2.39167,2.17062,0.0073765,0.0073765,0.0073765
55,684.406,2.25096,2.64804,1.97409,0.46076,0.28771,0.26885,0.09428,2.33669,2.2916,2.13339,0.007327,0.007327,0.007327
56,697.184,2.24566,2.60395,1.96832,0.45893,0.29061,0.29563,0.1076,2.2822,2.35371,2.10324,0.0072775,0.0072775,0.0072775
57,709.832,2.22361,2.55888,1.95751,0.28439,0.36099,0.28978,0.10099,2.37694,2.3648,2.17734,0.007228,0.007228,0.007228
58,722.542,2.21274,2.59659,1.96184,0.29439,0.40515,0.31205,0.11451,2.29845,2.30399,2.10873,0.0071785,0.0071785,0.0071785
