epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.0297,2.47029,10.1536,2.33363,0.00109,0.27417,0.00423,0.00214,2.33662,9.17227,2.32708,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033,0.00099,0.00033
2,67.865,1.94087,9.19513,1.95234,0.89123,0.0195,0.03428,0.01343,2.00802,7.5142,2.01884,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766,0.0019703,0.000656766
3,86.9638,1.68523,8.36657,1.69465,0.63906,0.1469,0.10297,0.04131,1.62167,6.13739,1.79658,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933,0.0029308,0.000976933
4,105.753,1.56534,7.66869,1.54773,0.2363,0.19681,0.15307,0.06765,1.56063,4.92683,1.71103,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,124.674,1.5189,6.87334,1.48514,0.30937,0.25464,0.2286,0.09894,1.48503,3.53028,1.61067,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,143.536,1.50826,6.46432,1.46392,0.35875,0.36736,0.32246,0.16038,1.50976,2.96374,1.60157,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,162.31,1.49835,6.11681,1.45097,0.43984,0.4002,0.38446,0.18404,1.51671,2.58181,1.54531,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,181.099,1.51141,5.84051,1.43185,0.45317,0.51545,0.44274,0.21413,1.50533,2.28469,1.54316,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,199.685,1.48129,5.37532,1.41639,0.50555,0.48564,0.47884,0.23823,1.47463,2.03189,1.53034,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,218.443,1.48147,5.09494,1.3937,0.45948,0.52874,0.48084,0.23901,1.49004,2.05366,1.57743,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
