epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,519.775,1.32343,1.63264,1.25589,0.89473,0.80195,0.89133,0.48535,1.52388,1.14801,1.49889,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,534.357,1.29173,1.62508,1.25382,0.86862,0.82991,0.88723,0.4695,1.51685,1.11318,1.49191,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,555.919,1.26452,1.58426,1.23676,0.9228,0.83639,0.90972,0.48684,1.53093,1.10076,1.50658,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,577.786,1.28731,1.61737,1.26067,0.9128,0.84076,0.90539,0.49172,1.5172,1.06639,1.49102,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,599.539,1.29596,1.55369,1.24826,0.89532,0.86054,0.91768,0.48594,1.54997,1.06668,1.50315,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,621.632,1.30754,1.56424,1.26361,0.91657,0.85289,0.91066,0.49929,1.53272,1.03864,1.48001,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,643.536,1.25772,1.54468,1.24279,0.91436,0.84833,0.91926,0.50398,1.50169,1.01677,1.46693,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,665.462,1.29581,1.52775,1.25098,0.91663,0.87947,0.92197,0.50605,1.50439,1.02025,1.46605,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,687.492,1.28237,1.51499,1.24304,0.87826,0.88017,0.90879,0.50954,1.48848,0.97023,1.47557,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,709.349,1.25138,1.48326,1.22959,0.91317,0.86607,0.92778,0.51875,1.48388,0.94663,1.45394,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,731.098,1.26144,1.48468,1.23681,0.91935,0.88553,0.9251,0.51005,1.47963,0.96458,1.44547,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,752.877,1.26534,1.49363,1.24051,0.89702,0.87779,0.92143,0.50689,1.4803,0.94914,1.45969,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,774.746,1.21043,1.45478,1.21159,0.8837,0.87018,0.91479,0.49699,1.50389,0.94122,1.47165,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,797.089,1.25178,1.47417,1.23585,0.93125,0.88107,0.92468,0.5046,1.49511,0.90843,1.44173,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,819.631,1.26923,1.45604,1.23782,0.91056,0.88725,0.92171,0.51377,1.4617,0.88887,1.42463,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,840.408,1.22275,1.38698,1.21601,0.9089,0.88407,0.92301,0.51861,1.48309,0.8854,1.45296,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,854.915,1.22266,1.43587,1.2097,0.93733,0.88062,0.92044,0.50757,1.46211,0.89068,1.45291,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,869.455,1.20952,1.35825,1.1995,0.90153,0.90225,0.92934,0.50856,1.47127,0.8855,1.45394,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,884.1,1.20244,1.40492,1.21534,0.92183,0.89484,0.92721,0.51638,1.45918,0.87859,1.42648,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,898.551,1.20207,1.39259,1.20151,0.92419,0.90514,0.93349,0.52956,1.4571,0.86175,1.44055,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,913.194,1.21476,1.37552,1.21295,0.93058,0.90228,0.93213,0.51859,1.45454,0.84,1.44551,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,927.825,1.22635,1.36184,1.20681,0.94206,0.89842,0.93837,0.52845,1.42916,0.85355,1.42734,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,942.423,1.23373,1.37356,1.21426,0.94585,0.88366,0.93057,0.52545,1.43753,0.84842,1.4322,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,956.964,1.21724,1.36246,1.21055,0.94195,0.89712,0.92988,0.52197,1.45095,0.83524,1.44995,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,971.534,1.16338,1.3147,1.18169,0.92016,0.88474,0.92799,0.52303,1.45013,0.83257,1.44712,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,985.961,1.19853,1.32004,1.21505,0.94544,0.90103,0.93826,0.51935,1.4358,0.82154,1.43432,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
56,1000.49,1.20525,1.29298,1.20187,0.90224,0.89288,0.9324,0.52631,1.4353,0.83099,1.43871,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
57,1014.9,1.17897,1.27029,1.19093,0.91298,0.90035,0.935,0.52031,1.45506,0.83782,1.44443,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456,0.0013368,0.0004456
58,1029.43,1.17293,1.29671,1.19257,0.93564,0.89484,0.93594,0.54165,1.42164,0.82455,1.42057,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357,0.0013071,0.0004357
59,1043.97,1.17151,1.24043,1.18841,0.93054,0.90061,0.93393,0.53147,1.4412,0.8106,1.42124,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
60,1058.52,1.16881,1.2942,1.20386,0.93569,0.90779,0.93798,0.53745,1.44628,0.82034,1.42028,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159,0.0012477,0.0004159
61,1072.94,1.19974,1.28244,1.19953,0.92605,0.91175,0.93695,0.5345,1.42804,0.80328,1.42623,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
62,1087.4,1.19858,1.26682,1.20403,0.93018,0.92687,0.94128,0.54574,1.42235,0.78998,1.41655,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961,0.0011883,0.0003961
63,1101.9,1.18554,1.27927,1.20322,0.93427,0.90254,0.94062,0.53975,1.43354,0.79746,1.41309,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
64,1116.5,1.18574,1.2662,1.18588,0.91816,0.90726,0.92853,0.54002,1.41211,0.79167,1.40157,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763,0.0011289,0.0003763
65,1130.96,1.17732,1.23199,1.19202,0.93809,0.88421,0.93392,0.52821,1.4334,0.80664,1.4224,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
66,1147.77,1.16375,1.20843,1.18778,0.92163,0.91395,0.93999,0.5337,1.40871,0.77163,1.40615,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
67,1171.34,1.10351,1.18769,1.14082,0.92321,0.91937,0.93925,0.5418,1.39589,0.78033,1.40556,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
68,1193.16,1.17206,1.22799,1.19033,0.93367,0.91605,0.9398,0.52656,1.40546,0.77593,1.41693,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367,0.0010101,0.0003367
69,1214.51,1.16089,1.21366,1.18181,0.91607,0.91218,0.93559,0.53804,1.40013,0.76213,1.4046,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
70,1234.76,1.12837,1.19436,1.16551,0.91644,0.91952,0.93663,0.53502,1.41951,0.76587,1.41336,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,1249.25,1.18201,1.22652,1.19037,0.92161,0.9018,0.93845,0.53834,1.41861,0.75809,1.42263,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,1264.81,1.14339,1.17843,1.16591,0.91358,0.91903,0.93941,0.54486,1.40694,0.76338,1.4164,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
