epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,440.302,1.54517,1.94431,1.37189,0.80151,0.80346,0.85968,0.45561,1.50876,1.21773,1.49143,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,453.824,1.46528,1.87293,1.34829,0.82973,0.79885,0.87184,0.46389,1.49337,1.18969,1.47938,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,467.309,1.52659,1.89024,1.36688,0.86588,0.82971,0.89708,0.47656,1.49609,1.14392,1.46751,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,480.798,1.48875,1.85864,1.33543,0.88371,0.80098,0.89487,0.47882,1.4909,1.18721,1.47535,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,494.452,1.46309,1.79408,1.33335,0.858,0.82547,0.89044,0.47392,1.52332,1.17041,1.51976,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,507.936,1.48742,1.81892,1.34505,0.8725,0.80719,0.88765,0.47116,1.52974,1.19849,1.50573,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,521.512,1.45922,1.755,1.32585,0.88343,0.83082,0.90683,0.48264,1.51011,1.13767,1.48188,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,535.115,1.45782,1.76203,1.32641,0.86825,0.83514,0.90309,0.48854,1.50907,1.13841,1.48753,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,548.567,1.44962,1.74443,1.32454,0.88655,0.83153,0.89205,0.47966,1.50738,1.15163,1.5,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,562.084,1.44897,1.72709,1.32086,0.89446,0.84092,0.90626,0.48555,1.50304,1.08334,1.48403,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,575.486,1.43849,1.66103,1.30428,0.87533,0.86394,0.91204,0.49235,1.50556,1.07412,1.46468,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,588.974,1.44386,1.68027,1.31503,0.90718,0.86986,0.91514,0.49961,1.43897,1.03613,1.42992,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,602.552,1.43689,1.68868,1.3081,0.88421,0.87604,0.91232,0.49623,1.46272,1.03335,1.44173,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,616.107,1.4335,1.65285,1.31161,0.88895,0.8799,0.91149,0.50127,1.46428,1.02361,1.44529,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,629.67,1.40045,1.63491,1.28951,0.9056,0.8906,0.91835,0.50655,1.44467,1.01578,1.43279,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,643.213,1.42372,1.65014,1.30504,0.91402,0.90185,0.92882,0.51791,1.45757,1.00861,1.42975,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,656.636,1.42419,1.63298,1.30408,0.88462,0.88564,0.91926,0.51404,1.47521,1.00571,1.45512,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,670.131,1.43603,1.62952,1.31488,0.89728,0.86977,0.91206,0.50934,1.47173,1.01929,1.44296,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,683.515,1.41841,1.65142,1.31482,0.89183,0.87772,0.91727,0.49651,1.49128,1.02189,1.46292,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,696.884,1.4126,1.61755,1.30084,0.90391,0.87785,0.9241,0.50115,1.47787,0.99857,1.45555,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,710.32,1.41331,1.57178,1.30122,0.90811,0.88245,0.92121,0.50443,1.48105,0.99458,1.45014,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,723.808,1.41361,1.58365,1.29291,0.91497,0.88246,0.92054,0.49817,1.48488,0.9949,1.45622,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,737.291,1.39147,1.55575,1.28047,0.90723,0.88134,0.91314,0.50759,1.45122,0.95486,1.42999,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
53,750.706,1.38189,1.53673,1.28063,0.9183,0.904,0.93442,0.51119,1.46091,0.94569,1.43457,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852,0.0014556,0.0004852
54,764.21,1.38422,1.50396,1.26886,0.90012,0.88138,0.92578,0.51109,1.43037,0.91964,1.41819,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753,0.0014259,0.0004753
55,777.63,1.37935,1.52822,1.27591,0.92442,0.89496,0.93252,0.51525,1.42877,0.94787,1.4208,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654,0.0013962,0.0004654
